000000 - [0]
000001 - [0]
000002 - [0]
000003 - [0]
000004 - [0]
000005 - [0]
000006 - [0]
000007 - [0]
000008 - [1, 0]
000009 - [1, 0]
000010 - [1, 0]
000011 - [1, 0]
000012 - [1, 0]
000013 - [1, 0]
000014 - [1, 0]
000015 - [1, 0]
000016 - [2, 0]
000017 - [2, 0]
000018 - [2, 0]
000019 - [2, 0]
000020 - [2, 0]
000021 - [2, 0]
000022 - [2, 0]
000023 - [2, 0]
000024 - [3, 0]
000025 - [3, 0]
000026 - [3, 0]
000027 - [3, 0]
000028 - [3, 0]
000029 - [3, 0]
000030 - [3, 0]
000031 - [3, 0]
000032 - [4, 0]
000033 - [4, 0]
000034 - [4, 0]
000035 - [4, 0]
000036 - [4, 0]
000037 - [4, 0]
000038 - [4, 0]
000039 - [4, 0]
000040 - [5, 0]
000041 - [5, 0]
000042 - [5, 0]
000043 - [5, 0]
000044 - [5, 0]
000045 - [5, 0]
000046 - [5, 0]
000047 - [5, 0]
000048 - [6, 0]
000049 - [6, 0]
000050 - [6, 0]
000051 - [6, 0]
000052 - [6, 0]
000053 - [6, 0]
000054 - [6, 0]
000055 - [6, 0]
000056 - [7, 0]
000057 - [7, 0]
000058 - [7, 0]
000059 - [7, 0]
000060 - [7, 0]
000061 - [7, 0]
000062 - [7, 0]
000063 - [7, 0]
000244 - [6, 3, 0]
000245 - [6, 3, 0]
000246 - [6, 3, 0]
000247 - [6, 3, 0]
000248 - [7, 3, 0]
000249 - [7, 3, 0]
000250 - [7, 3, 0]
000251 - [7, 3, 0]
000252 - [7, 3, 0]
000253 - [7, 3, 0]
000254 - [7, 3, 0]
000255 - [7, 3, 0]
000256 - [0, 4, 0]
000257 - [0, 4, 0]
000258 - [0, 4, 0]
000259 - [0, 4, 0]
000260 - [0, 4, 0]
000261 - [0, 4, 0]
000262 - [0, 4, 0]
000263 - [0, 4, 0]
000264 - [1, 4, 0]
000265 - [1, 4, 0]
000266 - [1, 4, 0]
000267 - [1, 4, 0]
000268 - [1, 4, 0]
000269 - [1, 4, 0]
000270 - [1, 4, 0]
000271 - [1, 4, 0]
000272 - [2, 4, 0]
000273 - [2, 4, 0]
000274 - [2, 4, 0]
000275 - [2, 4, 0]
000276 - [2, 4, 0]
000277 - [2, 4, 0]
000278 - [2, 4, 0]
000279 - [2, 4, 0]
000280 - [3, 4, 0]
000281 - [3, 4, 0]
000282 - [3, 4, 0]
000283 - [3, 4, 0]
000284 - [3, 4, 0]
000285 - [3, 4, 0]
000286 - [3, 4, 0]
000287 - [3, 4, 0]
000288 - [4, 4, 0]
000289 - [4, 4, 0]
000290 - [4, 4, 0]
000291 - [4, 4, 0]
000292 - [4, 4, 0]
000293 - [4, 4, 0]
000294 - [4, 4, 0]
000295 - [4, 4, 0]
000296 - [5, 4, 0]
000297 - [5, 4, 0]
000298 - [5, 4, 0]
000299 - [5, 4, 0]
000300 - [5, 4, 0]
000301 - [5, 4, 0]
000302 - [5, 4, 0]
000303 - [5, 4, 0]
000304 - [6, 4, 0]
000305 - [6, 4, 0]
000306 - [6, 4, 0]
000307 - [6, 4, 0]
000308 - [6, 4, 0]
000309 - [6, 4, 0]
000310 - [6, 4, 0]
000311 - [6, 4, 0]
000312 - [7, 4, 0]
000313 - [7, 4, 0]
000314 - [7, 4, 0]
000315 - [7, 4, 0]
000316 - [7, 4, 0]
000317 - [7, 4, 0]
000318 - [7, 4, 0]
000319 - [7, 4, 0]
000320 - [0, 5, 0]
000321 - [0, 5, 0]
000322 - [0, 5, 0]
000323 - [0, 5, 0]
000324 - [0, 5, 0]
000325 - [0, 5, 0]
000326 - [0, 5, 0]
000327 - [0, 5, 0]
000328 - [1, 5, 0]
000329 - [1, 5, 0]
000330 - [1, 5, 0]
000331 - [1, 5, 0]
000332 - [1, 5, 0]
000333 - [1, 5, 0]
000334 - [1, 5, 0]
000335 - [1, 5, 0]
000336 - [2, 5, 0]
000337 - [2, 5, 0]
000338 - [2, 5, 0]
000339 - [2, 5, 0]
000340 - [2, 5, 0]
000341 - [2, 5, 0]
000342 - [2, 5, 0]
000343 - [2, 5, 0]
000344 - [3, 5, 0]
000345 - [3, 5, 0]
000346 - [3, 5, 0]
000347 - [3, 5, 0]
000348 - [3, 5, 0]
000349 - [3, 5, 0]
000350 - [3, 5, 0]
000351 - [3, 5, 0]
000352 - [4, 5, 0]
000353 - [4, 5, 0]
000354 - [4, 5, 0]
000355 - [4, 5, 0]
000356 - [4, 5, 0]
000357 - [4, 5, 0]
000358 - [4, 5, 0]
000359 - [4, 5, 0]
000360 - [5, 5, 0]
000361 - [5, 5, 0]
000362 - [5, 5, 0]
000363 - [5, 5, 0]
000364 - [5, 5, 0]
000365 - [5, 5, 0]
000366 - [5, 5, 0]
000367 - [5, 5, 0]
000368 - [6, 5, 0]
000369 - [6, 5, 0]
000370 - [6, 5, 0]
000371 - [6, 5, 0]
000372 - [6, 5, 0]
000373 - [6, 5, 0]
000374 - [6, 5, 0]
000375 - [6, 5, 0]
000376 - [7, 5, 0]
000377 - [7, 5, 0]
000378 - [7, 5, 0]
000379 - [7, 5, 0]
000380 - [7, 5, 0]
000381 - [7, 5, 0]
000382 - [7, 5, 0]
000383 - [7, 5, 0]
000384 - [0, 6, 0]
000385 - [0, 6, 0]
000386 - [0, 6, 0]
000387 - [0, 6, 0]
000388 - [0, 6, 0]
000389 - [0, 6, 0]
000390 - [0, 6, 0]
000391 - [0, 6, 0]
000392 - [1, 6, 0]
000393 - [1, 6, 0]
000394 - [1, 6, 0]
000395 - [1, 6, 0]
000396 - [1, 6, 0]
000397 - [1, 6, 0]
000398 - [1, 6, 0]
000399 - [1, 6, 0]
000400 - [2, 6, 0]
000401 - [2, 6, 0]
000402 - [2, 6, 0]
000403 - [2, 6, 0]
000404 - [2, 6, 0]
000405 - [2, 6, 0]
000406 - [2, 6, 0]
000407 - [2, 6, 0]
000408 - [3, 6, 0]
000409 - [3, 6, 0]
000410 - [3, 6, 0]
000411 - [3, 6, 0]
000412 - [3, 6, 0]
000413 - [3, 6, 0]
000414 - [3, 6, 0]
000415 - [3, 6, 0]
000416 - [4, 6, 0]
000417 - [4, 6, 0]
000418 - [4, 6, 0]
000419 - [4, 6, 0]
000420 - [4, 6, 0]
000421 - [4, 6, 0]
000422 - [4, 6, 0]
000423 - [4, 6, 0]
000424 - [5, 6, 0]
000425 - [5, 6, 0]
000426 - [5, 6, 0]
000427 - [5, 6, 0]
000428 - [5, 6, 0]
000429 - [5, 6, 0]
000430 - [5, 6, 0]
000431 - [5, 6, 0]
000432 - [6, 6, 0]
000433 - [6, 6, 0]
000434 - [6, 6, 0]
000435 - [6, 6, 0]
000436 - [6, 6, 0]
000437 - [6, 6, 0]
000438 - [6, 6, 0]
000439 - [6, 6, 0]
000440 - [7, 6, 0]
000441 - [7, 6, 0]
000442 - [7, 6, 0]
000443 - [7, 6, 0]
000444 - [7, 6, 0]
000445 - [7, 6, 0]
000446 - [7, 6, 0]
000447 - [7, 6, 0]
000448 - [0, 7, 0]
000449 - [0, 7, 0]
000450 - [0, 7, 0]
000451 - [0, 7, 0]
000452 - [0, 7, 0]
000453 - [0, 7, 0]
000454 - [0, 7, 0]
000455 - [0, 7, 0]
000456 - [1, 7, 0]
000457 - [1, 7, 0]
000458 - [1, 7, 0]
000459 - [1, 7, 0]
000460 - [1, 7, 0]
000461 - [1, 7, 0]
000462 - [1, 7, 0]
000463 - [1, 7, 0]
000464 - [2, 7, 0]
000465 - [2, 7, 0]
000466 - [2, 7, 0]
000467 - [2, 7, 0]
000468 - [2, 7, 0]
000469 - [2, 7, 0]
000470 - [2, 7, 0]
000471 - [2, 7, 0]
000472 - [3, 7, 0]
000473 - [3, 7, 0]
000474 - [3, 7, 0]
000475 - [3, 7, 0]
000476 - [3, 7, 0]
000477 - [3, 7, 0]
000478 - [3, 7, 0]
000479 - [3, 7, 0]
000480 - [4, 7, 0]
000481 - [4, 7, 0]
000482 - [4, 7, 0]
000483 - [4, 7, 0]
000484 - [4, 7, 0]
000485 - [4, 7, 0]
000486 - [4, 7, 0]
000487 - [4, 7, 0]
000488 - [5, 7, 0]
000489 - [5, 7, 0]
000490 - [5, 7, 0]
000491 - [5, 7, 0]
000492 - [5, 7, 0]
000493 - [5, 7, 0]
000494 - [5, 7, 0]
000495 - [5, 7, 0]
000496 - [6, 7, 0]
000497 - [6, 7, 0]
000498 - [6, 7, 0]
000499 - [6, 7, 0]
000500 - [6, 7, 0]
000501 - [6, 7, 0]
000502 - [6, 7, 0]
000503 - [6, 7, 0]
000504 - [7, 7, 0]
000505 - [7, 7, 0]
000506 - [7, 7, 0]
000507 - [7, 7, 0]
000508 - [7, 7, 0]
000509 - [7, 7, 0]
000510 - [7, 7, 0]
000511 - [7, 7, 0]
000512 - [0, 0, 1, 0]
000513 - [0, 0, 1, 0]
000514 - [0, 0, 1, 0]
000515 - [0, 0, 1, 0]
000516 - [0, 0, 1, 0]
000517 - [0, 0, 1, 0]
000518 - [0, 0, 1, 0]
000519 - [0, 0, 1, 0]
000520 - [1, 0, 1, 0]
000521 - [1, 0, 1, 0]
000522 - [1, 0, 1, 0]
000523 - [1, 0, 1, 0]
000524 - [1, 0, 1, 0]
000525 - [1, 0, 1, 0]
000526 - [1, 0, 1, 0]
000527 - [1, 0, 1, 0]
000528 - [2, 0, 1, 0]
000529 - [2, 0, 1, 0]
000530 - [2, 0, 1, 0]
000531 - [2, 0, 1, 0]
000532 - [2, 0, 1, 0]
000533 - [2, 0, 1, 0]
000534 - [2, 0, 1, 0]
000535 - [2, 0, 1, 0]
000536 - [3, 0, 1, 0]
000537 - [3, 0, 1, 0]
000538 - [3, 0, 1, 0]
000539 - [3, 0, 1, 0]
000540 - [3, 0, 1, 0]
000541 - [3, 0, 1, 0]
000542 - [3, 0, 1, 0]
000543 - [3, 0, 1, 0]
000544 - [4, 0, 1, 0]
000545 - [4, 0, 1, 0]
000546 - [4, 0, 1, 0]
000547 - [4, 0, 1, 0]
000548 - [4, 0, 1, 0]
000549 - [4, 0, 1, 0]
000550 - [4, 0, 1, 0]
000551 - [4, 0, 1, 0]
000552 - [5, 0, 1, 0]
000553 - [5, 0, 1, 0]
000554 - [5, 0, 1, 0]
000555 - [5, 0, 1, 0]
000556 - [5, 0, 1, 0]
000557 - [5, 0, 1, 0]
000558 - [5, 0, 1, 0]
000559 - [5, 0, 1, 0]
000560 - [6, 0, 1, 0]
000561 - [6, 0, 1, 0]
000562 - [6, 0, 1, 0]
000563 - [6, 0, 1, 0]
000564 - [6, 0, 1, 0]
000565 - [6, 0, 1, 0]
000566 - [6, 0, 1, 0]
000567 - [6, 0, 1, 0]
000568 - [7, 0, 1, 0]
000569 - [7, 0, 1, 0]
000570 - [7, 0, 1, 0]
000571 - [7, 0, 1, 0]
000572 - [7, 0, 1, 0]
000573 - [7, 0, 1, 0]
000574 - [7, 0, 1, 0]
000575 - [7, 0, 1, 0]
000576 - [0, 1, 1, 0]
000577 - [0, 1, 1, 0]
000578 - [0, 1, 1, 0]
000579 - [0, 1, 1, 0]
000580 - [0, 1, 1, 0]
000581 - [0, 1, 1, 0]
000582 - [0, 1, 1, 0]
000583 - [0, 1, 1, 0]
000584 - [1, 1, 1, 0]
000585 - [1, 1, 1, 0]
000586 - [1, 1, 1, 0]
000587 - [1, 1, 1, 0]
000588 - [1, 1, 1, 0]
000589 - [1, 1, 1, 0]
000590 - [1, 1, 1, 0]
000591 - [1, 1, 1, 0]
000592 - [2, 1, 1, 0]
000593 - [2, 1, 1, 0]
000594 - [2, 1, 1, 0]
000595 - [2, 1, 1, 0]
000596 - [2, 1, 1, 0]
000597 - [2, 1, 1, 0]
000598 - [2, 1, 1, 0]
000599 - [2, 1, 1, 0]
000600 - [3, 1, 1, 0]
000601 - [3, 1, 1, 0]
000602 - [3, 1, 1, 0]
000603 - [3, 1, 1, 0]
000604 - [3, 1, 1, 0]
000605 - [3, 1, 1, 0]
000606 - [3, 1, 1, 0]
000607 - [3, 1, 1, 0]
000608 - [4, 1, 1, 0]
000609 - [4, 1, 1, 0]
000610 - [4, 1, 1, 0]
000611 - [4, 1, 1, 0]
000612 - [4, 1, 1, 0]
000613 - [4, 1, 1, 0]
000614 - [4, 1, 1, 0]
000615 - [4, 1, 1, 0]
000616 - [5, 1, 1, 0]
000617 - [5, 1, 1, 0]
000618 - [5, 1, 1, 0]
000619 - [5, 1, 1, 0]
000620 - [5, 1, 1, 0]
000621 - [5, 1, 1, 0]
000622 - [5, 1, 1, 0]
000623 - [5, 1, 1, 0]
000624 - [6, 1, 1, 0]
000625 - [6, 1, 1, 0]
000626 - [6, 1, 1, 0]
000627 - [6, 1, 1, 0]
000628 - [6, 1, 1, 0]
000629 - [6, 1, 1, 0]
000630 - [6, 1, 1, 0]
000631 - [6, 1, 1, 0]
000632 - [7, 1, 1, 0]
000633 - [7, 1, 1, 0]
000634 - [7, 1, 1, 0]
000635 - [7, 1, 1, 0]
000636 - [7, 1, 1, 0]
000637 - [7, 1, 1, 0]
000638 - [7, 1, 1, 0]
000639 - [7, 1, 1, 0]
000640 - [0, 2, 1, 0]
000641 - [0, 2, 1, 0]
000642 - [0, 2, 1, 0]
000643 - [0, 2, 1, 0]
000644 - [0, 2, 1, 0]
000645 - [0, 2, 1, 0]
000646 - [0, 2, 1, 0]
000647 - [0, 2, 1, 0]
000648 - [1, 2, 1, 0]
000649 - [1, 2, 1, 0]
000650 - [1, 2, 1, 0]
000651 - [1, 2, 1, 0]
000652 - [1, 2, 1, 0]
000653 - [1, 2, 1, 0]
000654 - [1, 2, 1, 0]
000655 - [1, 2, 1, 0]
000656 - [2, 2, 1, 0]
000657 - [2, 2, 1, 0]
000658 - [2, 2, 1, 0]
000659 - [2, 2, 1, 0]
000660 - [2, 2, 1, 0]
000661 - [2, 2, 1, 0]
000662 - [2, 2, 1, 0]
000663 - [2, 2, 1, 0]
000664 - [3, 2, 1, 0]
000665 - [3, 2, 1, 0]
000666 - [3, 2, 1, 0]
000667 - [3, 2, 1, 0]
000668 - [3, 2, 1, 0]
000669 - [3, 2, 1, 0]
000670 - [3, 2, 1, 0]
000671 - [3, 2, 1, 0]
000672 - [4, 2, 1, 0]
000673 - [4, 2, 1, 0]
000674 - [4, 2, 1, 0]
000675 - [4, 2, 1, 0]
000676 - [4, 2, 1, 0]
000677 - [4, 2, 1, 0]
000678 - [4, 2, 1, 0]
000679 - [4, 2, 1, 0]
000680 - [5, 2, 1, 0]
000681 - [5, 2, 1, 0]
000682 - [5, 2, 1, 0]
000683 - [5, 2, 1, 0]
000684 - [5, 2, 1, 0]
000685 - [5, 2, 1, 0]
000686 - [5, 2, 1, 0]
000687 - [5, 2, 1, 0]
000688 - [6, 2, 1, 0]
000689 - [6, 2, 1, 0]
000690 - [6, 2, 1, 0]
000691 - [6, 2, 1, 0]
000692 - [6, 2, 1, 0]
000693 - [6, 2, 1, 0]
000694 - [6, 2, 1, 0]
000695 - [6, 2, 1, 0]
000696 - [7, 2, 1, 0]
000697 - [7, 2, 1, 0]
000698 - [7, 2, 1, 0]
000699 - [7, 2, 1, 0]
000700 - [7, 2, 1, 0]
000701 - [7, 2, 1, 0]
000702 - [7, 2, 1, 0]
000703 - [7, 2, 1, 0]
000704 - [0, 3, 1, 0]
000705 - [0, 3, 1, 0]
000706 - [0, 3, 1, 0]
000707 - [0, 3, 1, 0]
000708 - [0, 3, 1, 0]
000709 - [0, 3, 1, 0]
000710 - [0, 3, 1, 0]
000711 - [0, 3, 1, 0]
000712 - [1, 3, 1, 0]
000713 - [1, 3, 1, 0]
000714 - [1, 3, 1, 0]
000715 - [1, 3, 1, 0]
000716 - [1, 3, 1, 0]
000717 - [1, 3, 1, 0]
000718 - [1, 3, 1, 0]
000719 - [1, 3, 1, 0]
000720 - [2, 3, 1, 0]
000721 - [2, 3, 1, 0]
000722 - [2, 3, 1, 0]
000723 - [2, 3, 1, 0]
000724 - [2, 3, 1, 0]
000725 - [2, 3, 1, 0]
000726 - [2, 3, 1, 0]
000727 - [2, 3, 1, 0]
000728 - [3, 3, 1, 0]
000729 - [3, 3, 1, 0]
000730 - [3, 3, 1, 0]
000731 - [3, 3, 1, 0]
000732 - [3, 3, 1, 0]
000733 - [3, 3, 1, 0]
000734 - [3, 3, 1, 0]
000735 - [3, 3, 1, 0]
000736 - [4, 3, 1, 0]
000737 - [4, 3, 1, 0]
000738 - [4, 3, 1, 0]
000739 - [4, 3, 1, 0]
000740 - [4, 3, 1, 0]
000741 - [4, 3, 1, 0]
000742 - [4, 3, 1, 0]
000743 - [4, 3, 1, 0]
000744 - [5, 3, 1, 0]
000745 - [5, 3, 1, 0]
000746 - [5, 3, 1, 0]
000747 - [5, 3, 1, 0]
000748 - [5, 3, 1, 0]
000749 - [5, 3, 1, 0]
000750 - [5, 3, 1, 0]
000751 - [5, 3, 1, 0]
000752 - [6, 3, 1, 0]
000753 - [6, 3, 1, 0]
000754 - [6, 3, 1, 0]
000755 - [6, 3, 1, 0]
000756 - [6, 3, 1, 0]
000757 - [6, 3, 1, 0]
000758 - [6, 3, 1, 0]
000759 - [6, 3, 1, 0]
000760 - [7, 3, 1, 0]
000761 - [7, 3, 1, 0]
000762 - [7, 3, 1, 0]
000763 - [7, 3, 1, 0]
000764 - [7, 3, 1, 0]
000765 - [7, 3, 1, 0]
000766 - [7, 3, 1, 0]
000767 - [7, 3, 1, 0]
000768 - [0, 4, 1, 0]
000769 - [0, 4, 1, 0]
000770 - [0, 4, 1, 0]
000771 - [0, 4, 1, 0]
000772 - [0, 4, 1, 0]
000773 - [0, 4, 1, 0]
000774 - [0, 4, 1, 0]
000775 - [0, 4, 1, 0]
000776 - [1, 4, 1, 0]
000777 - [1, 4, 1, 0]
000778 - [1, 4, 1, 0]
000779 - [1, 4, 1, 0]
000780 - [1, 4, 1, 0]
000781 - [1, 4, 1, 0]
000782 - [1, 4, 1, 0]
000783 - [1, 4, 1, 0]
000784 - [2, 4, 1, 0]
000785 - [2, 4, 1, 0]
000786 - [2, 4, 1, 0]
000787 - [2, 4, 1, 0]
000788 - [2, 4, 1, 0]
000789 - [2, 4, 1, 0]
000790 - [2, 4, 1, 0]
000791 - [2, 4, 1, 0]
000792 - [3, 4, 1, 0]
000793 - [3, 4, 1, 0]
000794 - [3, 4, 1, 0]
000795 - [3, 4, 1, 0]
000796 - [3, 4, 1, 0]
000797 - [3, 4, 1, 0]
000798 - [3, 4, 1, 0]
000799 - [3, 4, 1, 0]
000800 - [4, 4, 1, 0]
000801 - [4, 4, 1, 0]
000802 - [4, 4, 1, 0]
000803 - [4, 4, 1, 0]
000804 - [4, 4, 1, 0]
000805 - [4, 4, 1, 0]
000806 - [4, 4, 1, 0]
000807 - [4, 4, 1, 0]
000808 - [5, 4, 1, 0]
000809 - [5, 4, 1, 0]
000810 - [5, 4, 1, 0]
000811 - [5, 4, 1, 0]
000812 - [5, 4, 1, 0]
000813 - [5, 4, 1, 0]
000814 - [5, 4, 1, 0]
000815 - [5, 4, 1, 0]
000816 - [6, 4, 1, 0]
000817 - [6, 4, 1, 0]
000818 - [6, 4, 1, 0]
000819 - [6, 4, 1, 0]
000820 - [6, 4, 1, 0]
000821 - [6, 4, 1, 0]
000822 - [6, 4, 1, 0]
000823 - [6, 4, 1, 0]
000824 - [7, 4, 1, 0]
000825 - [7, 4, 1, 0]
000826 - [7, 4, 1, 0]
000827 - [7, 4, 1, 0]
000828 - [7, 4, 1, 0]
000829 - [7, 4, 1, 0]
000830 - [7, 4, 1, 0]
000831 - [7, 4, 1, 0]
000832 - [0, 5, 1, 0]
000833 - [0, 5, 1, 0]
000834 - [0, 5, 1, 0]
000835 - [0, 5, 1, 0]
000836 - [0, 5, 1, 0]
000837 - [0, 5, 1, 0]
000838 - [0, 5, 1, 0]
000839 - [0, 5, 1, 0]
000840 - [1, 5, 1, 0]
000841 - [1, 5, 1, 0]
000842 - [1, 5, 1, 0]
000843 - [1, 5, 1, 0]
000844 - [1, 5, 1, 0]
000845 - [1, 5, 1, 0]
000846 - [1, 5, 1, 0]
000847 - [1, 5, 1, 0]
000848 - [2, 5, 1, 0]
000849 - [2, 5, 1, 0]
000850 - [2, 5, 1, 0]
000851 - [2, 5, 1, 0]
000852 - [2, 5, 1, 0]
000853 - [2, 5, 1, 0]
000854 - [2, 5, 1, 0]
000855 - [2, 5, 1, 0]
000856 - [3, 5, 1, 0]
000857 - [3, 5, 1, 0]
000858 - [3, 5, 1, 0]
000859 - [3, 5, 1, 0]
000860 - [3, 5, 1, 0]
000861 - [3, 5, 1, 0]
000862 - [3, 5, 1, 0]
000863 - [3, 5, 1, 0]
000864 - [4, 5, 1, 0]
000865 - [4, 5, 1, 0]
000866 - [4, 5, 1, 0]
000867 - [4, 5, 1, 0]
000868 - [4, 5, 1, 0]
000869 - [4, 5, 1, 0]
000870 - [4, 5, 1, 0]
000871 - [4, 5, 1, 0]
000872 - [5, 5, 1, 0]
000873 - [5, 5, 1, 0]
000874 - [5, 5, 1, 0]
000875 - [5, 5, 1, 0]
000876 - [5, 5, 1, 0]
000877 - [5, 5, 1, 0]
000878 - [5, 5, 1, 0]
000879 - [5, 5, 1, 0]
000880 - [6, 5, 1, 0]
000881 - [6, 5, 1, 0]
000882 - [6, 5, 1, 0]
000883 - [6, 5, 1, 0]
000884 - [6, 5, 1, 0]
000885 - [6, 5, 1, 0]
